代码,名称,全称,上一级代码
66121922,园七连,建设兵团农二师29团园七连,66121900
66121923,园九连,建设兵团农二师29团园九连,66121900
66121924,园十连,建设兵团农二师29团园十连,66121900
66121925,园十一连,建设兵团农二师29团园十一连,66121900
66121926,园十二连,建设兵团农二师29团园十二连,66121900
66121927,园十三连,建设兵团农二师29团园十三连,66121900
66121928,园十四连,建设兵团农二师29团园十四连,66121900
66121929,第一居委会,建设兵团农二师29团第一居委会,66121900
66121930,第二居委会,建设兵团农二师29团第二居委会,66121900
66121931,第三居委会,建设兵团农二师29团第三居委会,66121900
66121932,第四居委会,建设兵团农二师29团第四居委会,66121900
66121933,医院,建设兵团农二师29团医院,66121900
66121934,学校,建设兵团农二师29团学校,66121900
66121935,幼儿园,建设兵团农二师29团幼儿园,66121900
66121936,直属单位,建设兵团农二师29团直属单位,66121900
66121937,鹿场,建设兵团农二师29团鹿场,66121900
66121938,园林中心,建设兵团农二师29团园林中心,66121900
66121939,29团东片区,建设兵团农二师29团29团东片区,66121900
66121999,不详乡镇,建设兵团农二师29团不详乡镇,66121900
66122000,30团,建设兵团农二师30团,66120000
66122001,一连,建设兵团农二师30团一连,66122000
66122002,二连,建设兵团农二师30团二连,66122000
66122003,三连,建设兵团农二师30团三连,66122000
66122004,四连,建设兵团农二师30团四连,66122000
66122005,五连,建设兵团农二师30团五连,66122000
66122006,六连,建设兵团农二师30团六连,66122000
66122007,七连,建设兵团农二师30团七连,66122000
66122008,八连,建设兵团农二师30团八连,66122000
66122009,九连,建设兵团农二师30团九连,66122000
66122010,十连,建设兵团农二师30团十连,66122000
66122012,社区,建设兵团农二师30团社区,66122000
66122014,园一连,建设兵团农二师30团园一连,66122000
66122015,园二连,建设兵团农二师30团园二连,66122000
66122016,园三连,建设兵团农二师30团园三连,66122000
66122018,园五连,建设兵团农二师30团园五连,66122000
66122019,园六连,建设兵团农二师30团园六连,66122000
66122020,园七连,建设兵团农二师30团园七连,66122000
66122021,园八连,建设兵团农二师30团园八连,66122000
66122022,幼儿园,建设兵团农二师30团幼儿园,66122000
66122023,学校,建设兵团农二师30团学校,66122000
66122025,畜牧管理站,建设兵团农二师30团畜牧管理站,66122000
66122026,医院,建设兵团农二师30团医院,66122000
66122027,直属单位,建设兵团农二师30团直属单位,66122000
66122029,煤矿,建设兵团农二师30团煤矿,66122000
66122030,副业连,建设兵团农二师30团副业连,66122000
66122031,阳霞乡,建设兵团农二师30团阳霞乡,66122000
66122032,沙雅农场,建设兵团农二师30团沙雅农场,66122000
66122099,不详乡镇,建设兵团农二师30团不详乡镇,66122000
66122100,31团,建设兵团农二师31团,66120000
66122101,一连,建设兵团农二师31团一连,66122100
66122102,二连,建设兵团农二师31团二连,66122100
66122103,三连,建设兵团农二师31团三连,66122100
66122104,四连,建设兵团农二师31团四连,66122100
66122105,五连,建设兵团农二师31团五连,66122100
66122106,六连,建设兵团农二师31团六连,66122100
66122107,七连,建设兵团农二师31团七连,66122100
66122108,八连,建设兵团农二师31团八连,66122100
66122109,九连,建设兵团农二师31团九连,66122100
66122110,十连,建设兵团农二师31团十连,66122100
66122111,十一连,建设兵团农二师31团十一连,66122100
66122112,十二连,建设兵团农二师31团十二连,66122100
66122113,农试站,建设兵团农二师31团农试站,66122100
66122114,医院,建设兵团农二师31团医院,66122100
66122115,学校,建设兵团农二师31团学校,66122100
66122116,生活服务站,建设兵团农二师31团生活服务站,66122100
66122117,畜牧连,建设兵团农二师31团畜牧连,66122100
66122118,加工连,建设兵团农二师31团加工连,66122100
66122119,基建连,建设兵团农二师31团基建连,66122100
66122120,水管站,建设兵团农二师31团水管站,66122100
66122121,治沙站,建设兵团农二师31团治沙站,66122100
66122122,直属单位,建设兵团农二师31团直属单位,66122100
66122199,不详乡镇,建设兵团农二师31团不详乡镇,66122100
66122300,33团,建设兵团农二师33团,66120000
66122301,一连,建设兵团农二师33团一连,66122300
66122302,二连,建设兵团农二师33团二连,66122300
66122303,三连,建设兵团农二师33团三连,66122300
66122304,四连,建设兵团农二师33团四连,66122300
66122305,五连,建设兵团农二师33团五连,66122300
66122306,六连,建设兵团农二师33团六连,66122300
66122307,七连,建设兵团农二师33团七连,66122300
66122308,八连,建设兵团农二师33团八连,66122300
66122309,九连,建设兵团农二师33团九连,66122300
66122310,十连,建设兵团农二师33团十连,66122300
66122311,十一连,建设兵团农二师33团十一连,66122300
66122312,十二连,建设兵团农二师33团十二连,66122300
